id,season_id,episode_number,title,description,duration
1,1,1,Episode 1: Reckoning,A journey into the unknown reveals new challenges.,55
2,1,2,Episode 2: A New Beginning,Mysteries deepen as the search for answers continues.,114
3,1,3,Episode 3: Legacy,A confrontation with the past changes everything.,42
4,1,4,Episode 4: Reckoning,An unexpected discovery leads to a startling revelation.,101
5,1,5,Episode 5: Crossroads,Betrayal and intrigue threaten to undo everything.,97
6,1,6,Episode 6: Legacy,A confrontation with the past changes everything. 1,117
7,1,7,Episode 7: Legacy,Mysteries deepen as the search for answers continues. 1,58
8,2,1,Episode 1: Reckoning 1,A journey into the unknown reveals new challenges. 1,96
9,2,2,Episode 2: The Hidden Truth,"A hidden enemy emerges, threatening all they hold dear.",33
10,2,3,Episode 3: Reckoning,The final battle brings a shocking conclusion.,45
11,2,4,Episode 4: Endgame,A journey into the unknown reveals new challenges. 2,118
12,2,5,Episode 5: Reckoning,New alliances are formed as old ones are tested.,103
13,2,6,Episode 6: Crossroads,The final battle brings a shocking conclusion. 1,113
14,3,1,Episode 1: The Hidden Truth,New alliances are formed as old ones are tested. 1,105
15,3,2,Episode 2: Endgame,The quest for truth takes a dangerous turn.,120
16,3,3,Episode 3: Legacy 1,A race against time to prevent disaster.,63
17,3,4,Episode 4: Legacy,New alliances are formed as old ones are tested. 2,80
18,3,5,Episode 5: Legacy,Betrayal and intrigue threaten to undo everything. 1,67
19,3,6,Episode 6: Endgame,"A hidden enemy emerges, threatening all they hold dear. 1",80
20,3,7,Episode 7: Legacy 1,An unexpected discovery leads to a startling revelation. 1,64
21,4,1,Episode 1: The Hidden Truth 1,A confrontation with the past changes everything. 2,97
22,4,2,Episode 2: Endgame 1,Tensions rise as secrets begin to unravel.,118
23,4,3,Episode 3: Endgame,Betrayal and intrigue threaten to undo everything. 2,65
24,4,4,Episode 4: Reckoning 1,An unexpected discovery leads to a startling revelation. 2,85
25,4,5,Episode 5: The Hidden Truth,An unexpected discovery leads to a startling revelation. 3,102
26,4,6,Episode 6: A New Beginning,"A hidden enemy emerges, threatening all they hold dear. 2",88
27,4,7,Episode 7: A New Beginning,A journey into the unknown reveals new challenges. 3,98
28,4,8,Episode 8: Reckoning,Tensions rise as secrets begin to unravel. 1,108
29,4,9,Episode 9: Crossroads,The quest for truth takes a dangerous turn. 1,82
30,4,10,Episode 10: The Hidden Truth,A journey into the unknown reveals new challenges. 4,104
31,5,1,Episode 1: Endgame,A race against time to prevent disaster. 1,30
32,5,2,Episode 2: Crossroads,The quest for truth takes a dangerous turn. 2,98
33,5,3,Episode 3: Reckoning 1,A journey into the unknown reveals new challenges. 5,112
34,5,4,Episode 4: The Hidden Truth,Betrayal and intrigue threaten to undo everything. 3,59
35,5,5,Episode 5: Legacy 1,A sacrifice is made for the greater good.,84
36,5,6,Episode 6: A New Beginning 1,New alliances are formed as old ones are tested. 3,64
37,5,7,Episode 7: A New Beginning 1,A sacrifice is made for the greater good. 1,66
38,5,8,Episode 8: Endgame,"A hidden enemy emerges, threatening all they hold dear. 3",82
39,5,9,Episode 9: Reckoning,Mysteries deepen as the search for answers continues. 2,90
40,6,1,Episode 1: Crossroads,Tensions rise as secrets begin to unravel. 2,43
41,6,2,Episode 2: Reckoning,Betrayal and intrigue threaten to undo everything. 4,118
42,6,3,Episode 3: Endgame 1,A race against time to prevent disaster. 2,118
43,6,4,Episode 4: A New Beginning,A race against time to prevent disaster. 3,112
44,6,5,Episode 5: Legacy 2,Tensions rise as secrets begin to unravel. 3,99
45,6,6,Episode 6: Legacy 1,A race against time to prevent disaster. 4,55
46,6,7,Episode 7: Crossroads,Betrayal and intrigue threaten to undo everything. 5,118
47,7,1,Episode 1: Crossroads 1,The final battle brings a shocking conclusion. 2,102
48,7,2,Episode 2: A New Beginning 1,Tensions rise as secrets begin to unravel. 4,31
49,7,3,Episode 3: Crossroads,A journey into the unknown reveals new challenges. 6,116
50,7,4,Episode 4: Crossroads,Tensions rise as secrets begin to unravel. 5,40
51,7,5,Episode 5: The Hidden Truth 1,A race against time to prevent disaster. 5,58
52,7,6,Episode 6: The Hidden Truth,A confrontation with the past changes everything. 3,102
53,8,1,Episode 1: The Hidden Truth 2,The quest for truth takes a dangerous turn. 3,120
54,8,2,Episode 2: Legacy,A sacrifice is made for the greater good. 2,90
55,8,3,Episode 3: A New Beginning,"A hidden enemy emerges, threatening all they hold dear. 4",108
56,8,4,Episode 4: The Hidden Truth 1,A journey into the unknown reveals new challenges. 7,41
57,8,5,Episode 5: Crossroads 1,A confrontation with the past changes everything. 4,87
58,8,6,Episode 6: Crossroads 1,A confrontation with the past changes everything. 5,44
59,8,7,Episode 7: Endgame,Tensions rise as secrets begin to unravel. 6,66
60,8,8,Episode 8: Crossroads,A sacrifice is made for the greater good. 3,60
61,8,9,Episode 9: Legacy,Tensions rise as secrets begin to unravel. 7,43
62,9,1,Episode 1: Crossroads 2,The final battle brings a shocking conclusion. 3,87
63,9,2,Episode 2: Legacy 1,The final battle brings a shocking conclusion. 4,49
64,9,3,Episode 3: Endgame 2,A sacrifice is made for the greater good. 4,103
65,9,4,Episode 4: Endgame 1,A confrontation with the past changes everything. 6,60
66,9,5,Episode 5: A New Beginning,A journey into the unknown reveals new challenges. 8,60
67,9,6,Episode 6: A New Beginning 2,A race against time to prevent disaster. 6,116
68,10,1,Episode 1: A New Beginning,A journey into the unknown reveals new challenges. 9,64
69,10,2,Episode 2: The Hidden Truth 1,Mysteries deepen as the search for answers continues. 3,109
70,10,3,Episode 3: Endgame 3,A race against time to prevent disaster. 7,40
71,10,4,Episode 4: Crossroads 1,New alliances are formed as old ones are tested. 4,60
72,10,5,Episode 5: Crossroads 2,A confrontation with the past changes everything. 7,57
73,11,1,Episode 1: The Hidden Truth 3,"A hidden enemy emerges, threatening all they hold dear. 5",104
