id,episode_id,user_id,watched_time
1,463,13,2024-02-09 02:26:38.598832
2,1678,28,2023-03-22 02:40:49.802579
3,1892,84,2023-06-03 02:26:38.599221
4,982,78,2024-01-23 02:40:49.803045
5,1456,2,2024-01-18 02:26:38.599630
6,347,87,2023-12-02 02:40:49.803541
7,1082,97,2023-11-05 02:26:38.599791
8,1450,19,2023-12-17 02:40:49.803950
9,369,22,2023-08-10 02:26:38.600058
10,842,57,2023-07-28 02:40:49.804529
11,369,63,2023-07-03 02:26:38.600290
12,1170,13,2023-09-08 02:40:49.805197
14,205,71,2023-10-27 02:40:49.805576
15,1717,8,2023-12-12 02:26:38.600651
16,1238,100,2023-12-19 02:40:49.805820
17,1089,49,2024-03-04 02:26:38.600789
18,749,45,2023-03-14 02:40:49.806097
19,1436,50,2023-10-22 02:26:38.600897
20,667,11,2024-01-21 02:40:49.806326
22,1958,70,2023-07-07 02:40:49.806548
23,1929,55,2023-03-15 02:26:38.601166
24,867,89,2023-10-06 02:40:49.806769
25,1658,94,2023-05-26 02:26:38.601347
26,1333,24,2023-12-16 02:40:49.807017
27,382,85,2023-06-30 02:26:38.601505
28,1232,31,2024-01-04 02:40:49.807261
29,374,20,2023-11-29 02:26:38.601649
30,200,72,2023-09-19 02:40:49.807565
31,375,38,2023-11-15 02:26:38.601775
32,1473,65,2023-11-16 02:40:49.807823
33,406,8,2023-05-14 02:26:38.601923
34,646,12,2023-03-14 02:40:49.808073
35,893,95,2023-06-02 02:26:38.602050
36,1579,97,2023-11-15 02:40:49.808326
37,722,8,2023-09-27 02:26:38.602234
38,1195,22,2023-04-21 02:40:49.808553
39,403,8,2024-02-09 02:26:38.602431
40,634,62,2023-09-08 02:40:49.808804
41,1135,75,2023-07-05 02:26:38.602603
42,713,63,2024-02-21 02:40:49.809052
43,93,65,2023-06-08 02:26:38.602780
44,1439,26,2023-10-08 02:40:49.809345
45,403,21,2024-02-05 02:26:38.602960
46,1090,4,2023-04-22 02:40:49.809596
47,460,66,2024-01-24 02:26:38.603055
48,1315,57,2024-01-05 02:40:49.809846
49,774,24,2024-01-30 02:26:38.603151
50,290,94,2023-06-05 02:40:49.810092
51,1564,77,2024-01-31 02:26:38.603282
52,1551,12,2023-10-20 02:40:49.810350
53,379,87,2023-11-06 02:26:38.603451
54,641,69,2023-08-29 02:40:49.810574
55,858,52,2024-01-04 02:26:38.603666
56,1217,40,2023-11-09 02:40:49.810803
57,1081,73,2023-10-31 02:26:38.603831
58,216,52,2023-12-22 02:40:49.811068
60,643,82,2023-07-24 02:40:49.811325
61,1108,6,2023-04-23 02:26:38.604241
62,1273,84,2023-10-21 02:40:49.811565
63,371,11,2023-08-04 02:26:38.604432
64,565,67,2024-01-11 02:40:49.811786
65,412,85,2023-05-12 02:26:38.604571
66,1755,72,2023-07-12 02:40:49.812025
67,1892,73,2023-06-12 02:26:38.604647
68,1298,25,2024-01-06 02:40:49.812277
69,1915,41,2023-10-24 02:26:38.604732
70,1731,62,2023-05-27 02:40:49.812547
71,1613,27,2023-03-29 02:26:38.604837
72,794,99,2023-09-27 02:40:49.812772
73,406,92,2023-09-27 02:26:38.605018
74,57,18,2023-05-07 02:40:49.813011
75,412,31,2023-10-22 02:26:38.605269
76,1140,62,2023-07-28 02:40:49.813260
77,1395,51,2023-12-29 02:26:38.605512
78,681,38,2023-12-13 02:40:49.813548
79,742,86,2023-04-10 02:26:38.605785
80,898,66,2023-10-28 02:40:49.813773
81,83,39,2023-07-15 02:26:38.605969
82,1339,84,2023-08-19 02:40:49.813998
83,839,41,2024-01-28 02:26:38.606089
84,1374,71,2023-09-25 02:40:49.814258
85,412,2,2023-07-15 02:26:38.606291
86,46,16,2023-05-08 02:40:49.814503
87,1798,80,2023-05-22 02:26:38.606488
88,1516,20,2023-08-12 02:40:49.814744
89,394,13,2024-01-28 02:26:38.606674
90,980,9,2023-06-30 02:40:49.814965
91,1312,69,2023-11-17 02:26:38.606870
92,1101,89,2023-03-31 02:40:49.815204
93,408,65,2023-10-22 02:26:38.607074
94,607,99,2023-09-07 02:40:49.815430
95,881,17,2023-09-09 02:26:38.607272
96,846,88,2023-06-03 02:40:49.815748
97,946,9,2023-11-01 02:26:38.607451
98,1392,52,2023-05-03 02:40:49.815975
99,375,48,2023-10-12 02:26:38.607669
100,1535,20,2023-07-19 02:40:49.816200
101,1929,21,2023-07-25 02:26:38.607848
102,771,90,2023-03-07 02:40:49.816421
103,1558,70,2023-03-11 02:26:38.608028
104,1359,37,2023-12-14 02:40:49.816660
105,1879,39,2023-04-27 02:26:38.608225
106,535,85,2023-04-27 02:40:49.816900
107,1776,84,2023-06-09 02:26:38.608425
108,1649,7,2023-04-11 02:40:49.817137
109,1082,2,2023-03-30 02:26:38.608628
110,1199,7,2023-11-12 02:40:49.817386
111,1821,71,2023-10-04 02:26:38.608812
112,1531,80,2024-01-04 02:40:49.817620
114,951,51,2024-01-03 02:40:49.817855
115,378,18,2023-10-22 02:26:38.609220
116,484,6,2023-12-26 02:40:49.818079
118,862,66,2024-01-24 02:40:49.818300
119,411,96,2023-05-27 02:26:38.609645
120,763,14,2024-01-11 02:40:49.818563
121,470,20,2023-10-18 02:26:38.609825
122,664,13,2023-06-29 02:40:49.818817
123,398,37,2023-05-01 02:26:38.610022
124,419,5,2023-10-04 02:40:49.819043
125,1642,27,2023-09-12 02:26:38.610273
126,1496,3,2023-10-09 02:40:49.819265
127,455,27,2023-03-20 02:26:38.610414
128,171,92,2023-06-25 02:40:49.819485
129,400,82,2023-10-22 02:26:38.610541
130,1770,70,2023-04-05 02:40:49.819746
131,941,65,2023-06-29 02:26:38.610704
132,316,85,2023-07-09 02:40:49.819984
133,94,33,2024-02-08 02:26:38.610886
134,1958,30,2023-07-06 02:40:49.820207
135,1610,12,2023-04-16 02:26:38.611014
136,1976,39,2023-06-18 02:40:49.820427
138,802,7,2023-08-27 02:40:49.820668
139,1971,6,2024-03-04 02:26:38.611427
140,1974,18,2024-01-05 02:40:49.820908
141,1558,43,2023-12-30 02:26:38.611636
142,1728,93,2023-03-20 02:40:49.821144
143,378,82,2023-10-23 02:26:38.611819
144,163,60,2024-03-04 02:40:49.821399
145,412,21,2023-07-23 02:26:38.611999
146,1889,17,2024-02-11 02:40:49.821623
147,1622,71,2023-03-10 02:26:38.612192
148,72,64,2023-11-03 02:40:49.821877
149,1436,55,2023-05-23 02:26:38.612379
150,326,73,2023-07-02 02:40:49.822116
151,1452,2,2024-01-08 02:26:38.612556
152,1152,99,2024-02-06 02:40:49.822337
153,1554,10,2023-03-18 02:26:38.612750
154,160,81,2024-01-25 02:40:49.822560
156,295,54,2023-03-24 02:40:49.822792
157,456,5,2023-08-29 02:26:38.613157
158,1904,30,2024-01-02 02:40:49.823037
159,81,75,2023-05-28 02:26:38.613326
160,1989,55,2023-12-30 02:40:49.823274
161,1717,19,2023-07-29 02:26:38.613481
162,1578,75,2023-09-26 02:40:49.823497
163,1188,17,2024-02-13 02:26:38.613647
164,1022,66,2024-02-01 02:40:49.823718
165,441,40,2023-09-01 02:26:38.613810
166,1799,7,2023-07-18 02:40:49.823965
168,212,62,2024-01-08 02:40:49.824211
169,407,27,2023-03-22 02:26:38.614108
170,1878,75,2023-08-16 02:40:49.824461
171,410,32,2023-03-30 02:26:38.614251
172,705,85,2023-06-26 02:40:49.824684
173,1456,14,2023-09-06 02:26:38.614420
174,1710,56,2023-06-29 02:40:49.824904
175,1222,100,2023-05-24 02:26:38.614639
176,1315,96,2023-10-26 02:40:49.825166
177,1754,53,2023-04-23 02:26:38.614774
178,1916,9,2023-03-20 02:40:49.825451
179,795,96,2023-12-17 02:26:38.614944
180,1720,52,2023-08-22 02:40:49.825675
181,83,31,2023-12-13 02:26:38.615271
182,1771,7,2023-08-11 02:40:49.825894
183,1446,23,2023-08-07 02:26:38.615514
184,1238,35,2023-05-30 02:40:49.826153
185,1517,4,2023-12-05 02:26:38.615716
186,1650,44,2023-05-29 02:40:49.826406
187,992,95,2023-09-17 02:26:38.615916
188,1492,88,2023-06-11 02:40:49.826632
189,1554,53,2023-03-29 02:26:38.616079
190,295,70,2023-04-06 02:40:49.826852
191,839,95,2023-10-30 02:26:38.616269
192,1272,37,2023-04-17 02:40:49.827072
193,884,35,2023-12-15 02:26:38.616436
194,273,40,2023-10-21 02:40:49.827326
195,703,90,2024-01-10 02:26:38.616680
196,1729,86,2023-12-27 02:40:49.827565
198,137,37,2023-09-13 02:40:49.827786
199,76,61,2023-11-13 02:26:38.617065
200,1973,8,2023-10-18 02:40:49.828005
202,804,94,2023-04-25 02:40:49.828256
203,1222,45,2023-10-01 02:26:38.617453
204,310,96,2023-06-20 02:40:49.828510
205,408,30,2023-11-12 02:26:38.617634
206,1869,66,2023-08-12 02:40:49.828753
207,853,4,2023-04-03 02:26:38.617826
208,102,38,2023-09-06 02:40:49.828975
209,1791,25,2023-08-14 02:26:38.618001
210,939,29,2023-06-22 02:40:49.829197
211,392,43,2023-10-15 02:26:38.618175
212,1520,55,2023-05-24 02:40:49.829462
213,673,9,2023-10-15 02:26:38.618352
214,634,96,2023-10-08 02:40:49.829702
215,1507,45,2023-04-12 02:26:38.618530
216,1048,41,2024-01-11 02:40:49.829924
217,386,66,2023-08-14 02:26:38.618713
218,1374,23,2023-08-05 02:40:49.830145
220,1900,43,2023-12-06 02:40:49.830401
221,403,43,2024-02-20 02:26:38.619071
222,197,64,2023-08-06 02:40:49.830640
223,370,15,2023-10-24 02:26:38.619252
224,288,54,2023-07-22 02:40:49.830863
225,1860,23,2023-05-13 02:26:38.619429
226,1010,31,2024-01-10 02:40:49.831083
227,1613,34,2024-02-15 02:26:38.619606
228,842,44,2023-08-30 02:40:49.831303
229,1207,14,2023-05-05 02:26:38.619791
230,828,23,2023-09-26 02:40:49.831552
231,1735,56,2023-09-11 02:26:38.620090
232,605,35,2024-01-18 02:40:49.831791
233,1610,94,2023-09-27 02:26:38.620319
234,1110,89,2023-07-11 02:40:49.832012
235,375,56,2023-04-30 02:26:38.620531
236,1760,70,2023-11-18 02:40:49.832231
237,1769,66,2024-01-06 02:26:38.620732
238,295,24,2024-01-20 02:40:49.832451
239,934,50,2023-05-15 02:26:38.620917
240,424,11,2023-12-19 02:40:49.832708
241,1613,25,2023-10-27 02:26:38.621113
242,1318,49,2023-06-04 02:40:49.832934
243,1776,6,2023-03-09 02:26:38.621301
244,118,14,2023-05-27 02:40:49.833155
245,409,56,2024-03-05 02:26:38.621538
246,1324,53,2023-06-15 02:40:49.833388
247,77,67,2023-06-04 02:26:38.621876
248,631,48,2024-02-22 02:40:49.833634
249,386,88,2023-03-28 02:26:38.622079
250,715,51,2023-11-17 02:40:49.833872
251,703,26,2023-09-01 02:26:38.622204
252,812,39,2023-09-21 02:40:49.834095
253,1627,56,2024-01-30 02:26:38.622363
254,697,68,2023-03-26 02:40:49.834315
255,1707,86,2023-09-18 02:26:38.622494
256,1666,44,2023-08-05 02:40:49.834550
258,1887,96,2023-03-19 02:40:49.834799
259,854,85,2024-01-02 02:26:38.622938
260,1086,76,2023-06-28 02:40:49.835037
261,676,93,2023-10-04 02:26:38.623217
262,1148,63,2024-02-02 02:40:49.835261
263,385,65,2023-09-29 02:26:38.623458
264,144,1,2023-10-10 02:40:49.835482
265,83,86,2023-08-09 02:26:38.623662
266,1402,48,2023-04-06 02:40:49.835707
267,444,42,2023-08-12 02:26:38.623833
268,1152,49,2023-06-21 02:40:49.835963
269,1879,90,2023-10-06 02:26:38.624082
270,110,96,2023-05-27 02:40:49.836186
271,410,71,2023-12-31 02:26:38.624254
272,350,24,2023-07-27 02:40:49.836408
273,875,25,2023-08-03 02:26:38.624443
274,356,90,2023-11-06 02:40:49.836626
275,1432,86,2023-08-24 02:26:38.624629
276,311,39,2023-12-06 02:40:49.836872
